"sec"	"mA"	"mV"
400.46    -0.000608720467425883    -150.219482421875
400.96    0.0679492652416229    -100.046104431152
401.961    0.0194313209503889    -100.083625793457
402.954    0.0109934639185667    -100.046104431152
403.954    0.00742308190092444    -100.046104431152
404.954    0.00555688701570034    -100.008575439453
405.947    0.00442180037498474    -100.121147155762
406.951    0.00369173125363886    -100.046104431152
407.944    0.00328567554242909    -99.9710540771484
408.939    0.00271761300973594    -100.046104431152
409.939    0.00255560595542192    -100.121147155762
410.932    0.00223055388778448    -100.121147155762
411.933    0.00190654001198709    -100.159149169922
412.932    0.00206854683347046    -100.046104431152
413.929    0.00174453319050372    -100.121147155762
414.923    0.00141948089003563    -100.083625793457
415.923    0.00125747406855226    -100.046104431152
416.917    0.00101342529524118    -100.046104431152
417.919    0.00117647065781057    -100.083625793457
418.92    0.00117647065781057    -100.121147155762
419.918    0.00101342529524118    -100.121147155762
420.907    0.00101342529524118    -100.046104431152
421.907    0.000932421826291829    -100.008575439453
422.907    0.00101342529524118    -100.121147155762
423.899    0.000689411535859108    -100.046104431152
424.897    0.000689411535859108    -100.083625793457
425.897    0.000689411535859108    -100.008575439453
426.891    0.000689411535859108    -100.046104431152
427.892    0.000527404656168073    -100.046104431152
428.884    0.000527404656168073    -100.046104431152
429.885    0.000364359264494851    -100.046104431152
430.88    0.000446401216322556    -99.9710540771484
431.878    0.000364359264494851    -100.083625793457
432.876    0.000283355853753164    -100.121147155762
433.876    0.000364359264494851    -100.083625793457
434.869    0.000283355853753164    -100.121147155762
435.871    0.000202352399355732    -100.046104431152
436.87    0.000283355853753164    -100.008575439453
437.862    0.000446401216322556    -100.083625793457
438.861    0.000283355853753164    -99.9710540771484
439.861    0.000202352399355732    -100.083625793457
440.854    0.000202352399355732    -100.046104431152
441.856    0.000283355853753164    -100.046104431152
442.854    0.000364359264494851    -100.121147155762
443.847    0.000202352399355732    -100.046104431152
444.845    0.00012134897406213    -100.046104431152
445.845    0.000364359264494851    -100.121147155762
446.843    0.000283355853753164    -100.083625793457
447.841    0.00012134897406213    -100.121147155762
448.838    0.000202352399355732    -100.046104431152
449.831    0.000283355853753164    -100.046104431152
450.83    0.000364359264494851    -100.121147155762
451.83    0.000283355853753164    -100.083625793457
452.828    4.03455378545914E-5    -100.046104431152
453.825    0.000283355853753164    -100.046104431152
454.826    0.000283355853753164    -100.046104431152
455.816    0.000283355853753164    -100.008575439453
456.814    0.000202352399355732    -100.008575439453
457.814    0.00012134897406213    -100.083625793457
458.815    0.000283355853753164    -100.121147155762
459.812    -4.06578983529471E-5    -100.008575439453
460.81    0.00012134897406213    -100.083625793457
461.8    4.03455378545914E-5    -100.083625793457
462.799    4.03455378545914E-5    -100.159149169922
463.799    0.00012134897406213    -100.046104431152
464.791    -4.06578983529471E-5    -100.046104431152
465.794    -4.06578983529471E-5    -100.008575439453
466.79    -0.000121661330922507    -100.046104431152
467.783    4.03455378545914E-5    -100.046104431152
468.783    -0.000121661330922507    -100.046104431152
469.783    4.03455378545914E-5    -100.046104431152
470.776    -4.06578983529471E-5    -100.121147155762
471.78    4.03455378545914E-5    -100.046104431152
472.776    4.03455378545914E-5    -100.046104431152
473.768    -0.000121661330922507    -100.121147155762
474.768    -4.06578983529471E-5    -100.046104431152
475.763    -0.000121661330922507    -100.046104431152
476.766    -0.000202664770768024    -100.046104431152
477.767    4.03455378545914E-5    -100.159149169922
478.78    -0.000121661330922507    -100.008575439453
479.752    -0.000202664770768024    -100.121147155762
480.75    -0.000121661330922507    -100.083625793457
481.752    -0.000202664770768024    -100.046104431152
482.744    4.03455378545914E-5    -99.9710540771484
483.74    4.03455378545914E-5    -100.121147155762
484.743    0.00012134897406213    -100.083625793457
485.736    0.00012134897406213    -100.046104431152
486.736    4.03455378545914E-5    -100.046104431152
487.73    -0.000121661330922507    -100.121147155762
488.729    -4.06578983529471E-5    -100.083625793457
489.725    -0.000121661330922507    -100.046104431152
490.726    4.03455378545914E-5    -100.046104431152
491.721    -0.000202664770768024    -100.008575439453
492.718    -0.000121661330922507    -100.046104431152
493.715    -0.000202664770768024    -100.121147155762
494.721    -0.000121661330922507    -100.046104431152
495.71    4.03455378545914E-5    -100.083625793457
496.714    4.03455378545914E-5    -100.083625793457
497.705    -0.000202664770768024    -100.121147155762
498.705    -0.000121661330922507    -100.046104431152
499.699    -4.06578983529471E-5    -100.121147155762
500.098    -0.000121661330922507    -100.046104431152
500.696    0.0561030320823193    -50.1358604431152
501.697    0.0187822561711073    -50.0983352661133
502.691    0.0112364739179611    -50.0608139038086
503.69    0.00807214807718992    -50.0232925415039
504.69    0.00669301208108664    -50.0608139038086
505.683    0.00523287337273359    -50.0608139038086
506.688    0.00498986290767789    -50.0608139038086
507.683    0.00425875512883067    -50.0983352661133
508.682    0.00393474148586392    -50.1358604431152
509.674    0.00344768236391246    -50.0608139038086
510.674    0.00344768236391246    -50.0232925415039
511.668    0.00312366848811507    -49.985767364502
512.665    0.00271761300973594    -50.0608139038086
513.668    0.00263660959899426    -50.0232925415039
514.667    0.00271761300973594    -50.0608139038086
515.659    0.00247460254468024    -50.0608139038086
516.659    0.00263660959899426    -50.0608139038086
517.654    0.00231155729852617    -50.0608139038086
518.65    0.00223055388778448    -50.1358604431152
519.652    0.00223055388778448    -50.0608139038086
520.645    0.00190654001198709    -50.1358604431152
521.643    0.00190654001198709    -50.0608139038086
522.639    0.00190654001198709    -50.0983352661133
523.641    0.0018255366012454    -50.0608139038086
524.638    0.00206854683347046    -50.0608139038086
525.639    0.00174453319050372    -49.985767364502
526.629    0.0018255366012454    -49.985767364502
527.628    0.0018255366012454    -50.0608139038086
528.628    0.00190654001198709    -50.0608139038086
529.626    0.0018255366012454    -50.1358604431152
530.622    0.0018255366012454    -50.0608139038086
531.623    0.00166249123867601    -50.0608139038086
532.614    0.0018255366012454    -50.0608139038086
533.613    0.00150048441719264    -50.1358604431152
534.613    0.00141948089003563    -50.0608139038086
535.612    0.00158148782793432    -50.0608139038086
536.608    0.00150048441719264    -50.0608139038086
537.6    0.00141948089003563    -50.0608139038086
538.612    0.00141948089003563    -50.0608139038086
539.597    0.00150048441719264    -50.1358604431152
540.596    0.00117647065781057    -50.1358604431152
541.593    0.00133847747929394    -50.0608139038086
542.591    0.00141948089003563    -50.0983352661133
543.592    0.00133847747929394    -50.0608139038086
544.582    0.00117647065781057    -50.0608139038086
545.579    0.00117647065781057    -50.1358604431152
546.581    0.00141948089003563    -50.0608139038086
547.578    0.00109546724706888    -50.0608139038086
548.581    0.00117647065781057    -50.0608139038086
549.568    0.00117647065781057    -50.0232925415039
550.567    0.00117647065781057    -50.0608139038086
551.564    0.00125747406855226    -50.0232925415039
552.566    0.00117647065781057    -50.1358604431152
553.563    0.00101342529524118    -49.985767364502
554.554    0.00117647065781057    -50.0232925415039
555.552    0.00117647065781057    -49.985767364502
556.55    0.00101342529524118    -50.0232925415039
557.55    0.00101342529524118    -50.0608139038086
558.55    0.000932421826291829    -50.0608139038086
559.548    0.00117647065781057    -50.0608139038086
560.539    0.00117647065781057    -50.0232925415039
561.543    0.000932421826291829    -50.1358604431152
562.534    0.00101342529524118    -50.0608139038086
563.535    0.00125747406855226    -50.0983352661133
564.535    0.00101342529524118    -50.1358604431152
565.532    0.00101342529524118    -50.0983352661133
566.529    0.00117647065781057    -50.0608139038086
567.523    0.00101342529524118    -50.0608139038086
568.519    0.00117647065781057    -49.985767364502
569.519    0.00109546724706888    -50.0232925415039
570.512    0.00101342529524118    -50.0983352661133
571.517    0.000932421826291829    -50.0608139038086
572.511    0.00101342529524118    -50.0608139038086
573.506    0.00101342529524118    -50.0608139038086
574.503    0.00101342529524118    -50.0983352661133
575.504    0.00101342529524118    -50.0608139038086
576.497    0.00101342529524118    -50.0608139038086
577.495    0.00109546724706888    -50.0983352661133
